软件工程师,job_id,job_count,job_name,tier2
205,1441,2181,美容导师,
206,913,2156,教学/教务管理,
207,1418,2151,网络推广专员,
208,132,2144,仓库经理/主管,
209,1695,2141,采购助理,
210,275,2139,内勤人员,
211,1740,2124,销售业务跟单,
212,461,2120,商务专员/助理,
213,1208,2113,理货员/陈列员,
214,999,2099,杂工,
215,463,2098,商务助理,
216,355,2084,区域销售总监,
217,126,2083,人力资源主管,
218,739,2081,广告设计,
219,1756,2066,销售行政助理,
220,1157,2059,物业维修,
221,1673,2058,造价师/预算师,
222,129,2047,人力资源经理,
223,1115,2045,渠道/分销经理/主管,
224,1090,2043,洗车工,
225,1037,2027,汽车/摩托车修理,
226,1390,2024,网店/淘宝客服,
227,121,2016,人事经理,
228,1336,2010,签约艺人,
229,1619,2009,质量管理/测试工程师(QA/QC工程师),
230,335,1994,化妆师,
231,1116,1985,渠道专员,
232,699,1982,市场营销,
233,1444,1975,美容店长,
234,1316,1972,礼仪/迎宾,
235,523,1971,外语培训师,
236,488,1962,土木/土建/结构工程师,
237,1602,1948,财务助理,
238,48,1932,三维/3D设计/制作,
239,763,1922,建筑施工现场管理,
240,1368,1910,给排水/暖通/空调工程,
241,1463,1909,育婴师/保育员,
242,859,1880,技术研发工程师,
243,108,1878,产品经理/主管,
244,1685,1866,酒吧服务员,
245,1273,1863,电气工程师/技术员,
246,761,1861,建筑工程管理/项目经理,
247,1124,1857,游戏设计/开发,
248,1407,1840,网站运营,
249,1371,1819,统计员,
250,1800,1817,项目经理/主管,
251,1598,1799,财务主管/总账主管,
252,936,1779,文档/资料管理,
253,818,1776,房地产中介/交易,
254,1152,1774,物业管理专员/助理,
255,612,1774,客服经理/主管,
256,512,1763,培训经理/主管,
257,1264,1762,电子工程师/技术员,
258,1769,1755,院校教务管理人员,
259,935,1755,文案策划,
260,668,1751,工程造价师/预结算经理,
261,224,1739,信用卡/银行卡业务,
262,747,1731,店长/经理,
263,1151,1727,物业管理/商业中心,
264,46,1721,Web前端开发,
265,1653,1721,软件研发工程师,
266,998,1704,机电工程师,
267,758,1695,建筑工程师,
268,697,1688,市场经理,
269,1389,1685,缝纫工,
270,225,1674,信用卡销售,
271,102,1673,产品工艺/制程工程师,
272,1667,1665,通信技术工程师,
273,91,1665,互联网软件开发工程师,
274,1597,1663,财务主管/总帐主管,
275,1422,1657,网络管理员,
276,1180,1644,猎头顾问/助理,
277,1261,1642,电子商务专员/助理,
278,1222,1612,生产经理/车间主任,
279,1263,1602,电子商务经理/主管,
280,1272,1600,电气工程师,
281,427,1597,后勤人员,
282,456,1591,售前/售后技术支持管理,
283,1625,1582,贸易/外贸经理/主管,
284,863,1581,投资/理财服务,
285,429,1577,后期制作,
286,459,1572,售后服务/客户服务,
287,161,1565,会计助理/文员,
288,1424,1565,网络运营专员/助理,
289,1406,1565,网站编辑,
290,681,1555,市场/营销/拓展主管,
291,1827,1540,餐饮服务员,
292,431,1535,呼叫中心客服,
293,434,1532,咨询|法律|教育|翻译,
294,384,1532,医药销售经理/主管,
295,698,1532,市场经理/总监,
296,1339,1531,算法工程师,
297,349,1527,化验/检验,
298,538,1524,大客户管理,
299,1604,1512,财务总监,
300,636,1509,导购员,
301,1114,1501,渠道/分销经理,
302,1805,1497,预结算员,
303,1799,1496,项目经理,
304,76,1494,主持人,
305,1499,1492,药品生产/质量管理,
306,700,1477,市场营销专员/助理,
307,1707,1476,金融产品经理,
308,1384,1461,编辑,
309,12,1454,ERP实施顾问,
310,690,1444,市场助理,
311,584,1439,审计专员/助理,
312,471,1437,园林/景观设计,
313,812,1436,房产店长/经理,
314,1808,1434,风险控制,
315,509,1434,培训生,
316,983,1430,木工,
317,1524,1424,行政经理/主管,
318,1224,1405,生产计划/物料管理(PMC),
319,191,1388,保安人员,
320,376,1386,医药学术推广,
321,1364,1384,结构/土木/土建工程师,
322,1461,1383,股票/期货操盘手,
323,682,1377,市场/营销/拓展总监,
324,1737,1370,铸造/注塑/模具工,
325,1568,1369,讲师/助教,
326,60,1364,业务跟单,
327,1849,1364,高级建筑工程师/总工,
328,1257,1357,电子/电气工程师,
329,832,1356,房地产销售经理/主管,
330,737,1354,广告文案策划,
331,1719,1348,钳工,
332,1218,1347,生产文员,
333,1365,1337,结构工程师,
334,287,1337,出租车司机,
335,1724,1335,铲车/叉车工,
336,664,1331,工程监理/质量管理,
337,1008,1327,校长,
338,1660,1327,运营主管/专员,
339,1608,1326,货运代理,
340,958,1318,日语翻译,
341,1216,1310,生产主管/组长,
342,187,1309,保健按摩其他,
343,535,1307,大学/大专应届毕业生,
344,443,1302,咨询顾问/咨询员,
345,432,1302,咖啡师,
346,1606,1301,财务经理/主管,
347,666,1300,工程资料管理,
348,686,1285,市场企划专员,
349,994,1278,机械维修/保养,
350,669,1276,工程项目管理,
351,1492,1276,茶艺师,
352,1792,1269,项目专员/助理,
353,1416,1266,网络工程师,
354,107,1255,产品经理,
355,1701,1249,采购经理/主管,
356,462,1239,商务主管/专员,
357,1822,1233,餐厅服务员,
358,1691,1229,酒店管理,
359,1400,1228,网店美工,
360,1435,1226,美容/瘦身顾问,
361,1369,1218,给排水/暖通工程,
362,692,1218,市场拓展,
363,369,1217,医疗器械销售,
364,1549,1216,视频主播,
365,1094,1209,测绘/测量,
366,977,1203,服装/纺织设计,
367,1832,1199,首席执行官CEO/总裁/总经理,
368,1155,1196,物业管理经理,
369,1203,1195,理疗师,
370,378,1189,医药技术研发人员,
371,1345,1189,系统工程师,
372,1065,1188,汽车销售/经纪人,
373,1009,1186,校长/副校长,
374,1347,1180,系统架构设计师,
375,736,1177,广告文案,
376,1375,1175,维修工程师,
377,503,1173,培训专员/助理,
378,404,1165,厨工,
379,794,1159,总监/部门经理,
380,585,1157,审计经理/主管,
381,1071,1154,油漆工,
382,1618,1151,质量管理/测试工程师,
383,87,1149,互联网产品经理/主管,
384,391,1138,单证员,
385,1718,1130,钣金工,
386,6,1130,CNC/数控工程师,
387,1204,1129,理科教师,
388,162,1128,会计经理/主管,
389,1172,1127,物流经理/主管,
390,1744,1124,销售其他,
391,970,1118,服装/纺织/皮革跟单,
392,273,1115,兼职教师,
393,1798,1110,项目管理,
394,98,1102,产品/品牌经理,
395,885,1095,招商经理,
396,694,1095,市场策划,
397,1214,1095,生产主管,
398,1265,1084,电子技术研发工程师,
399,886,1082,招商经理/主管,
400,1425,1074,网络运营管理,
401,1460,1047,职业技术教师,
402,658,1045,工程/设备工程师,
403,328,1038,动画/3D设计,
404,685,1037,市场主管,
405,200,1033,保险代理/经纪人/客户经理,
406,567,1033,安全员,
407,933,1030,文字编辑/组稿,
408,321,1029,副总裁/副总经理,
409,1177,1028,特种车司机,
410,473,1027,园艺/园林/景观设计,
411,69,1023,中餐厨师,
412,1097,1015,测试工程师,
413,650,1013,工业/产品设计,
414,435,1004,咨询员,
415,370,1004,医疗器械销售代表,
416,687,1004,市场企划经理/主管,
417,670,1003,工艺/制程工程师,
418,696,1003,市场策划/企划经理/主管,
419,1825,1002,餐饮其他,
420,99,1002,产品专员,
421,1297,997,知识产权/专利/商标,
422,1542,995,西点师,
423,1386,990,编辑/撰稿,
424,526,988,外贸/贸易经理/主管,
425,1617,988,质量管理/测试主管(QA/QC主管),
426,608,981,客服主管,
427,1278,978,电脑操作/打字/录入员,
428,1102,977,淘宝其他,
429,1615,976,质量管理,
430,1411,976,网站运营经理/主管,
431,1019,973,模具工程师,
432,1237,967,用户界面（UI）设计,
433,834,966,房地产项目/策划经理,
434,1320,963,科研人员,
435,1466,961,自动化工程师,
436,966,957,月嫂,
437,1714,956,针灸推拿,
438,220,954,信息技术专员,
439,1561,950,订单处理员,
440,883,943,招商专员,
441,921,942,数据库工程师/管理员,
442,1430,941,美体师,
443,306,939,制作执行,
444,838,938,房地产项目策划经理/主管,
445,1285,935,电路工程师/技术员,
446,793,934,总监,
447,1759,932,销售运营专员/助理,
448,1207,930,理货员,
449,1205,928,理财顾问/财务规划师,
450,984,927,机修工,
451,1075,925,法务主管/专员,
452,1091,925,活动执行,
453,1241,921,电力工程师/技术员,
454,465,920,商务经理,
455,831,916,房地产销售经理,
456,542,916,大客户销售经理,
457,1223,914,生产计划,
458,1117,910,渠道经理/总监,
459,380,907,医药招商,
460,1153,901,物业管理主管,
461,642,898,展览/展示/店面设计,
462,1661,898,运营总监,
463,1056,896,汽车维修/保养,
464,346,895,化工技术应用/化工工程师,
465,1145,888,物业招商/租赁/租售,
466,1028,887,水处理工程师,
467,981,886,服装设计师,
468,691,884,市场总监,
469,1128,884,演员/模特,
470,403,883,原画师,
471,599,882,客户服务经理,
472,1700,877,采购经理,
473,1326,876,税务专员/助理,
474,569,876,安全消防,
475,597,875,客户服务主管,
476,1694,874,采购主管,
477,1810,873,风险管理/控制/稽查,
478,168,871,体育老师/教练,
